Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (659)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
wound healing (GO:0042060)	322	23	10.31	+	2.23	3.32E-04	7.62E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	449	32	14.38	+	2.23	2.92E-05	1.04E-03
secretion by cell (GO:0032940)	421	30	13.48	+	2.23	5.61E-05	1.78E-03
negative regulation of phosphate metabolic process (GO:0045936)	365	26	11.69	+	2.22	2.16E-04	5.48E-03
organic acid biosynthetic process (GO:0016053)	281	20	9.00	+	2.22	8.72E-04	1.69E-02
regulation of T cell activation (GO:0050863)	380	27	12.17	+	2.22	1.56E-04	4.18E-03
negative regulation of phosphorus metabolic process (GO:0010563)	366	26	11.72	+	2.22	2.19E-04	5.51E-03
circulatory system process (GO:0003013)	507	36	16.23	+	2.22	8.80E-06	3.67E-04
positive regulation of proteolysis (GO:0045862)	338	24	10.82	+	2.22	2.65E-04	6.40E-03
negative regulation of response to external stimulus (GO:0032102)	409	29	13.10	+	2.21	8.18E-05	2.45E-03
axon guidance (GO:0007411)	228	16	7.30	+	2.19	3.45E-03	4.92E-02
neuron projection guidance (GO:0097485)	228	16	7.30	+	2.19	3.45E-03	4.92E-02
lipid localization (GO:0010876)	385	27	12.33	+	2.19	1.74E-04	4.58E-03
cellular response to lipid (GO:0071396)	528	37	16.91	+	2.19	1.28E-05	5.04E-04
regulation of anatomical structure morphogenesis (GO:0022603)	845	59	27.06	+	2.18	1.99E-08	1.54E-06
regulation of neuron projection development (GO:0010975)	459	32	14.70	+	2.18	3.99E-05	1.32E-03
positive regulation of secretion (GO:0051047)	316	22	10.12	+	2.17	9.47E-04	1.81E-02
positive regulation of developmental process (GO:0051094)	1336	93	42.78	+	2.17	1.42E-12	2.40E-10
vascular process in circulatory system (GO:0003018)	273	19	8.74	+	2.17	1.47E-03	2.51E-02
defense response (GO:0006952)	1442	100	46.17	+	2.17	1.58E-13	3.29E-11
response to peptide (GO:1901652)	462	32	14.79	+	2.16	4.42E-05	1.46E-03
negative regulation of transport (GO:0051051)	419	29	13.42	+	2.16	1.08E-04	3.13E-03
regulation of protein phosphorylation (GO:0001932)	913	63	29.24	+	2.15	1.14E-08	9.34E-07
regulation of phosphorylation (GO:0042325)	989	68	31.67	+	2.15	2.70E-09	2.58E-07
phosphorylation (GO:0016310)	742	51	23.76	+	2.15	3.33E-07	1.97E-05
cellular response to extracellular stimulus (GO:0031668)	262	18	8.39	+	2.15	2.24E-03	3.55E-02
response to peptide hormone (GO:0043434)	380	26	12.17	+	2.14	3.03E-04	7.15E-03
cellular response to chemical stress (GO:0062197)	278	19	8.90	+	2.13	1.77E-03	2.91E-02
response to oxygen-containing compound (GO:1901700)	1553	106	49.73	+	2.13	9.90E-14	2.22E-11
cell surface receptor signaling pathway (GO:0007166)	2076	141	66.48	+	2.12	2.35E-18	1.28E-15
export from cell (GO:0140352)	487	33	15.59	+	2.12	6.35E-05	1.98E-03
positive regulation of signal transduction (GO:0009967)	1567	106	50.18	+	2.11	1.35E-13	2.87E-11
cell morphogenesis (GO:0000902)	695	47	22.25	+	2.11	1.52E-06	7.45E-05
positive regulation of response to stimulus (GO:0048584)	2237	151	71.63	+	2.11	2.35E-19	1.63E-16
cellular response to hormone stimulus (GO:0032870)	506	34	16.20	+	2.10	5.22E-05	1.67E-03
glycoprotein metabolic process (GO:0009100)	344	23	11.02	+	2.09	9.24E-04	1.78E-02
defense response to symbiont (GO:0140546)	914	61	29.27	+	2.08	6.81E-08	4.65E-06
cell motility (GO:0048870)	1079	72	34.55	+	2.08	3.77E-09	3.44E-07
defense response to other organism (GO:0098542)	1020	68	32.66	+	2.08	1.35E-08	1.09E-06
positive regulation of cell population proliferation (GO:0008284)	947	63	30.32	+	2.08	4.03E-08	2.93E-06
regulation of molecular function (GO:0065009)	2002	133	64.11	+	2.07	2.45E-16	9.09E-14
intracellular monoatomic ion homeostasis (GO:0006873)	437	29	13.99	+	2.07	2.61E-04	6.33E-03
axon development (GO:0061564)	423	28	13.55	+	2.07	3.61E-04	8.20E-03
regulation of cell differentiation (GO:0045595)	1562	103	50.02	+	2.06	1.45E-12	2.43E-10
regulation of transport (GO:0051049)	1610	106	51.55	+	2.06	8.71E-13	1.58E-10
regulation of cell population proliferation (GO:0042127)	1673	110	53.57	+	2.05	2.67E-13	5.36E-11
negative regulation of cellular component organization (GO:0051129)	715	47	22.90	+	2.05	3.65E-06	1.65E-04
regulation of apoptotic signaling pathway (GO:2001233)	381	25	12.20	+	2.05	9.59E-04	1.83E-02
regulation of multicellular organismal process (GO:0051239)	2959	194	94.75	+	2.05	4.73E-24	1.80E-20
neurogenesis (GO:0022008)	1344	88	43.04	+	2.04	1.19E-10	1.51E-08
multicellular organismal-level homeostasis (GO:0048871)	611	40	19.57	+	2.04	1.97E-05	7.32E-04
negative regulation of catalytic activity (GO:0043086)	443	29	14.19	+	2.04	2.99E-04	7.07E-03
cellular response to chemical stimulus (GO:0070887)	2385	156	76.37	+	2.04	8.74E-19	5.33E-16
positive regulation of gene expression (GO:0010628)	1178	77	37.72	+	2.04	2.21E-09	2.17E-07
response to organic substance (GO:0010033)	2465	161	78.93	+	2.04	2.76E-19	1.83E-16
regulation of phosphate metabolic process (GO:0019220)	1149	75	36.79	+	2.04	4.07E-09	3.67E-07
regulation of phosphorus metabolic process (GO:0051174)	1150	75	36.82	+	2.04	4.17E-09	3.74E-07
positive regulation of cell communication (GO:0010647)	1752	114	56.10	+	2.03	1.76E-13	3.62E-11
positive regulation of signaling (GO:0023056)	1754	114	56.17	+	2.03	2.80E-13	5.54E-11
blood vessel morphogenesis (GO:0048514)	431	28	13.80	+	2.03	4.28E-04	9.49E-03
axonogenesis (GO:0007409)	370	24	11.85	+	2.03	1.39E-03	2.41E-02
cognition (GO:0050890)	325	21	10.41	+	2.02	2.22E-03	3.53E-02
neuron development (GO:0048666)	867	56	27.76	+	2.02	5.89E-07	3.28E-05
response to lipid (GO:0033993)	852	55	27.28	+	2.02	7.78E-07	4.19E-05
cellular response to endogenous stimulus (GO:0071495)	1147	74	36.73	+	2.01	1.11E-08	9.12E-07
membrane organization (GO:0061024)	760	49	24.34	+	2.01	4.25E-06	1.88E-04
neuron projection development (GO:0031175)	701	45	22.45	+	2.00	9.58E-06	3.96E-04
response to biotic stimulus (GO:0009607)	1427	91	45.69	+	1.99	2.31E-10	2.77E-08
negative regulation of molecular function (GO:0044092)	722	46	23.12	+	1.99	1.18E-05	4.69E-04
regulation of epithelial cell proliferation (GO:0050678)	361	23	11.56	+	1.99	2.07E-03	3.33E-02
supramolecular fiber organization (GO:0097435)	599	38	19.18	+	1.98	7.58E-05	2.30E-03
regulation of multicellular organismal development (GO:2000026)	1403	89	44.93	+	1.98	4.84E-10	5.50E-08
response to metal ion (GO:0010038)	363	23	11.62	+	1.98	2.15E-03	3.44E-02
secretion (GO:0046903)	538	34	17.23	+	1.97	1.64E-04	4.37E-03
negative regulation of protein modification process (GO:0031400)	412	26	13.19	+	1.97	9.93E-04	1.88E-02
positive regulation of catabolic process (GO:0009896)	523	33	16.75	+	1.97	2.17E-04	5.50E-03
intracellular monoatomic cation homeostasis (GO:0030003)	428	27	13.71	+	1.97	7.75E-04	1.55E-02
immune system process (GO:0002376)	2299	145	73.62	+	1.97	4.68E-16	1.62E-13
intracellular chemical homeostasis (GO:0055082)	571	36	18.28	+	1.97	1.42E-04	3.91E-03
response to other organism (GO:0051707)	1380	87	44.19	+	1.97	1.04E-09	1.12E-07
lipid biosynthetic process (GO:0008610)	603	38	19.31	+	1.97	8.16E-05	2.45E-03
response to external biotic stimulus (GO:0043207)	1383	87	44.29	+	1.96	1.63E-09	1.64E-07
positive regulation of programmed cell death (GO:0043068)	541	34	17.32	+	1.96	2.61E-04	6.34E-03
regulation of localization (GO:0032879)	2021	127	64.72	+	1.96	9.25E-14	2.10E-11
regulation of developmental process (GO:0050793)	2442	153	78.20	+	1.96	1.10E-16	4.31E-14
response to organonitrogen compound (GO:0010243)	943	59	30.20	+	1.95	9.41E-07	4.91E-05
regulation of transferase activity (GO:0051338)	640	40	20.49	+	1.95	5.48E-05	1.74E-03
modulation of chemical synaptic transmission (GO:0050804)	481	30	15.40	+	1.95	5.39E-04	1.16E-02
blood circulation (GO:0008015)	417	26	13.35	+	1.95	1.65E-03	2.73E-02
blood vessel development (GO:0001568)	530	33	16.97	+	1.94	3.70E-04	8.41E-03
regulation of trans-synaptic signaling (GO:0099177)	482	30	15.43	+	1.94	5.51E-04	1.17E-02
small molecule biosynthetic process (GO:0044283)	469	29	15.02	+	1.93	7.63E-04	1.53E-02
negative regulation of protein metabolic process (GO:0051248)	810	50	25.94	+	1.93	9.26E-06	3.84E-04
positive regulation of protein modification process (GO:0031401)	763	47	24.43	+	1.92	2.08E-05	7.68E-04
generation of neurons (GO:0048699)	1169	72	37.43	+	1.92	1.16E-07	7.42E-06
positive regulation of organelle organization (GO:0010638)	504	31	16.14	+	1.92	7.09E-04	1.44E-02
cytoskeleton organization (GO:0007010)	1252	77	40.09	+	1.92	3.12E-08	2.30E-06
negative regulation of developmental process (GO:0051093)	915	56	29.30	+	1.91	4.59E-06	2.02E-04
response to hormone (GO:0009725)	785	48	25.14	+	1.91	1.80E-05	6.77E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1555	95	49.79	+	1.91	1.17E-09	1.24E-07
positive regulation of protein localization (GO:1903829)	492	30	15.75	+	1.90	9.89E-04	1.88E-02
forebrain development (GO:0030900)	413	25	13.22	+	1.89	2.58E-03	4.00E-02
regulation of response to stress (GO:0080134)	1355	82	43.39	+	1.89	2.36E-08	1.77E-06
central nervous system development (GO:0007417)	1008	61	32.28	+	1.89	2.07E-06	9.88E-05
positive regulation of protein metabolic process (GO:0051247)	1243	75	39.80	+	1.88	1.13E-07	7.29E-06
negative regulation of intracellular signal transduction (GO:1902532)	547	33	17.52	+	1.88	4.95E-04	1.07E-02
cellular response to organic cyclic compound (GO:0071407)	465	28	14.89	+	1.88	1.85E-03	3.01E-02
cellular homeostasis (GO:0019725)	681	41	21.81	+	1.88	1.34E-04	3.71E-03
negative regulation of cell differentiation (GO:0045596)	666	40	21.33	+	1.88	1.79E-04	4.70E-03
response to nitrogen compound (GO:1901698)	1051	63	33.65	+	1.87	2.12E-06	1.01E-04
vasculature development (GO:0001944)	551	33	17.64	+	1.87	7.78E-04	1.55E-02
immune response (GO:0006955)	1660	99	53.16	+	1.86	1.49E-09	1.54E-07
positive regulation of apoptotic process (GO:0043065)	520	31	16.65	+	1.86	9.12E-04	1.76E-02
response to endogenous stimulus (GO:0009719)	1410	84	45.15	+	1.86	2.91E-08	2.17E-06
nervous system development (GO:0007399)	2204	131	70.58	+	1.86	1.56E-12	2.59E-10
regulation of signal transduction (GO:0009966)	3018	179	96.64	+	1.85	2.52E-17	1.13E-14
regulation of protein transport (GO:0051223)	440	26	14.09	+	1.85	3.52E-03	4.99E-02
response to external stimulus (GO:0009605)	2287	135	73.23	+	1.84	1.31E-12	2.24E-10
cell projection organization (GO:0030030)	1204	71	38.55	+	1.84	7.15E-07	3.88E-05
plasma membrane bounded cell projection organization (GO:0120036)	1155	68	36.98	+	1.84	1.13E-06	5.74E-05
regulation of proteolysis (GO:0030162)	595	35	19.05	+	1.84	5.41E-04	1.16E-02
cell adhesion (GO:0007155)	955	56	30.58	+	1.83	1.23E-05	4.86E-04
regulation of protein modification process (GO:0031399)	1229	72	39.35	+	1.83	6.32E-07	3.49E-05
regulation of cellular component organization (GO:0051128)	2441	143	78.16	+	1.83	3.74E-13	7.12E-11
tube morphogenesis (GO:0035239)	683	40	21.87	+	1.83	2.34E-04	5.83E-03
regulation of protein localization (GO:0032880)	888	52	28.43	+	1.83	3.39E-05	1.16E-03
neuron differentiation (GO:0030182)	1093	64	35.00	+	1.83	3.34E-06	1.52E-04
monoatomic ion homeostasis (GO:0050801)	513	30	16.43	+	1.83	2.00E-03	3.22E-02
regulation of response to stimulus (GO:0048583)	3976	232	127.32	+	1.82	2.00E-22	3.39E-19
regulation of signaling (GO:0023051)	3429	200	109.80	+	1.82	8.80E-19	5.16E-16
response to extracellular stimulus (GO:0009991)	515	30	16.49	+	1.82	2.03E-03	3.28E-02
regulation of cell communication (GO:0010646)	3435	199	109.99	+	1.81	2.49E-18	1.26E-15
monoatomic cation homeostasis (GO:0055080)	503	29	16.11	+	1.80	2.79E-03	4.23E-02
homeostatic process (GO:0042592)	1429	82	45.76	+	1.79	3.01E-07	1.80E-05
adaptive immune response (GO:0002250)	669	38	21.42	+	1.77	7.04E-04	1.43E-02
programmed cell death (GO:0012501)	1092	62	34.97	+	1.77	1.22E-05	4.86E-04
cell death (GO:0008219)	1096	62	35.10	+	1.77	1.30E-05	5.07E-04
chemical homeostasis (GO:0048878)	888	50	28.43	+	1.76	1.22E-04	3.47E-03
signal transduction (GO:0007165)	4769	266	152.71	+	1.74	2.12E-23	4.03E-20
behavior (GO:0007610)	632	35	20.24	+	1.73	1.75E-03	2.89E-02
regulation of protein metabolic process (GO:0051246)	2143	118	68.62	+	1.72	3.74E-09	3.44E-07
cellular lipid metabolic process (GO:0044255)	927	51	29.68	+	1.72	1.73E-04	4.56E-03
cell development (GO:0048468)	2236	123	71.60	+	1.72	1.53E-09	1.57E-07
regulation of growth (GO:0040008)	621	34	19.89	+	1.71	2.41E-03	3.77E-02
apoptotic process (GO:0006915)	1043	57	33.40	+	1.71	8.91E-05	2.64E-03
signaling (GO:0023052)	5089	278	162.96	+	1.71	2.02E-23	4.40E-20
response to organic cyclic compound (GO:0014070)	846	46	27.09	+	1.70	4.46E-04	9.80E-03
regulation of cellular localization (GO:0060341)	995	54	31.86	+	1.69	1.94E-04	5.00E-03
phosphorus metabolic process (GO:0006793)	1733	94	55.49	+	1.69	4.70E-07	2.71E-05
system development (GO:0048731)	3541	192	113.39	+	1.69	1.43E-14	3.97E-12
tube development (GO:0035295)	904	49	28.95	+	1.69	3.19E-04	7.36E-03
regulation of programmed cell death (GO:0043067)	1518	82	48.61	+	1.69	3.12E-06	1.43E-04
phosphate-containing compound metabolic process (GO:0006796)	1707	92	54.66	+	1.68	8.37E-07	4.47E-05
regulation of cellular catabolic process (GO:0031329)	687	37	22.00	+	1.68	1.93E-03	3.13E-02
cell communication (GO:0007154)	5242	281	167.86	+	1.67	2.29E-22	3.49E-19
regulation of biological quality (GO:0065008)	2842	151	91.00	+	1.66	1.32E-10	1.62E-08
regulation of organelle organization (GO:0033043)	1184	62	37.91	+	1.64	1.62E-04	4.33E-03
negative regulation of response to stimulus (GO:0048585)	1663	87	53.25	+	1.63	5.62E-06	2.40E-04
multicellular organism development (GO:0007275)	3957	206	126.71	+	1.63	6.13E-14	1.46E-11
transport (GO:0006810)	3655	190	117.04	+	1.62	1.17E-12	2.03E-10
negative regulation of gene expression (GO:0010629)	966	50	30.93	+	1.62	9.58E-04	1.83E-02
circulatory system development (GO:0072359)	928	48	29.72	+	1.62	1.10E-03	1.95E-02
cell-cell signaling (GO:0007267)	1085	56	34.74	+	1.61	4.97E-04	1.08E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	969	50	31.03	+	1.61	9.79E-04	1.86E-02
regulation of apoptotic process (GO:0042981)	1473	76	47.17	+	1.61	4.10E-05	1.36E-03
negative regulation of programmed cell death (GO:0043069)	918	47	29.40	+	1.60	1.47E-03	2.51E-02
response to stress (GO:0006950)	3413	174	109.29	+	1.59	8.62E-11	1.14E-08
regulation of catabolic process (GO:0009894)	1021	52	32.69	+	1.59	9.61E-04	1.84E-02
negative regulation of apoptotic process (GO:0043066)	891	45	28.53	+	1.58	2.46E-03	3.83E-02
response to chemical (GO:0042221)	3765	190	120.56	+	1.58	1.93E-11	2.83E-09
response to abiotic stimulus (GO:0009628)	1112	56	35.61	+	1.57	8.14E-04	1.60E-02
cellular response to stimulus (GO:0051716)	6422	323	205.64	+	1.57	4.87E-22	6.75E-19
lipid metabolic process (GO:0006629)	1238	62	39.64	+	1.56	4.45E-04	9.79E-03
negative regulation of cellular process (GO:0048523)	4833	241	154.76	+	1.56	1.62E-14	4.42E-12
cell differentiation (GO:0030154)	3643	181	116.65	+	1.55	2.64E-10	3.12E-08
cellular developmental process (GO:0048869)	3646	181	116.75	+	1.55	3.61E-10	4.17E-08
cellular catabolic process (GO:0044248)	1130	56	36.18	+	1.55	1.22E-03	2.15E-02
establishment of localization (GO:0051234)	3924	194	125.65	+	1.54	7.98E-11	1.10E-08
positive regulation of cellular process (GO:0048522)	5686	280	182.07	+	1.54	9.14E-17	3.87E-14
anatomical structure morphogenesis (GO:0009653)	2234	110	71.54	+	1.54	4.06E-06	1.81E-04
negative regulation of signal transduction (GO:0009968)	1301	64	41.66	+	1.54	5.99E-04	1.25E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	2591	127	82.97	+	1.53	8.46E-07	4.51E-05
positive regulation of cellular biosynthetic process (GO:0031328)	2673	131	85.59	+	1.53	4.74E-07	2.72E-05
positive regulation of cellular metabolic process (GO:0031325)	3328	163	106.57	+	1.53	9.66E-09	8.09E-07
positive regulation of biological process (GO:0048518)	6186	302	198.08	+	1.52	5.74E-18	2.73E-15
negative regulation of cellular metabolic process (GO:0031324)	2564	125	82.10	+	1.52	1.40E-06	6.90E-05
negative regulation of biological process (GO:0048519)	5193	253	166.29	+	1.52	4.70E-14	1.17E-11
anatomical structure development (GO:0048856)	5216	254	167.02	+	1.52	3.65E-14	9.75E-12
positive regulation of biosynthetic process (GO:0009891)	2694	131	86.27	+	1.52	7.11E-07	3.87E-05
negative regulation of macromolecule metabolic process (GO:0010605)	2601	126	83.29	+	1.51	1.63E-06	7.98E-05
negative regulation of metabolic process (GO:0009892)	2820	136	90.30	+	1.51	6.43E-07	3.54E-05
positive regulation of metabolic process (GO:0009893)	3706	178	118.67	+	1.50	6.41E-09	5.52E-07
negative regulation of macromolecule biosynthetic process (GO:0010558)	2055	98	65.80	+	1.49	5.31E-05	1.69E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3400	162	108.87	+	1.49	8.22E-08	5.45E-06
negative regulation of cell communication (GO:0010648)	1397	66	44.73	+	1.48	1.56E-03	2.65E-02
establishment of localization in cell (GO:0051649)	1630	77	52.19	+	1.48	5.45E-04	1.16E-02
negative regulation of signaling (GO:0023057)	1398	66	44.77	+	1.47	1.57E-03	2.65E-02
developmental process (GO:0032502)	5723	269	183.26	+	1.47	2.89E-13	5.57E-11
negative regulation of cellular biosynthetic process (GO:0031327)	2107	99	67.47	+	1.47	1.08E-04	3.13E-03
negative regulation of nitrogen compound metabolic process (GO:0051172)	2180	102	69.81	+	1.46	8.18E-05	2.45E-03
localization (GO:0051179)	4492	210	143.84	+	1.46	1.26E-09	1.32E-07
negative regulation of biosynthetic process (GO:0009890)	2121	99	67.92	+	1.46	1.16E-04	3.30E-03
response to stimulus (GO:0050896)	8143	380	260.75	+	1.46	2.14E-21	2.17E-18
organic substance transport (GO:0071702)	1907	88	61.06	+	1.44	4.73E-04	1.03E-02
nitrogen compound transport (GO:0071705)	1525	70	48.83	+	1.43	2.40E-03	3.77E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	2987	137	95.65	+	1.43	1.06E-05	4.31E-04
multicellular organismal process (GO:0032501)	6721	307	215.22	+	1.43	5.17E-14	1.27E-11
cellular localization (GO:0051641)	2655	117	85.02	+	1.38	3.01E-04	7.11E-03
catabolic process (GO:0009056)	1932	85	61.87	+	1.37	2.73E-03	4.18E-02
animal organ development (GO:0048513)	2863	125	91.68	+	1.36	2.42E-04	6.01E-03
cellular component assembly (GO:0022607)	2447	106	78.36	+	1.35	1.15E-03	2.05E-02
regulation of biological process (GO:0050789)	11661	497	373.40	+	1.33	3.25E-24	1.65E-20
regulation of cellular process (GO:0050794)	11106	472	355.63	+	1.33	5.82E-21	5.22E-18
biological regulation (GO:0065007)	12079	511	386.79	+	1.32	4.52E-25	6.89E-21
cellular component organization (GO:0016043)	5615	235	179.80	+	1.31	1.84E-06	8.90E-05
regulation of metabolic process (GO:0019222)	6526	268	208.97	+	1.28	9.24E-07	4.84E-05
regulation of cellular metabolic process (GO:0031323)	6021	247	192.80	+	1.28	3.80E-06	1.71E-04
regulation of macromolecule metabolic process (GO:0060255)	6001	242	192.16	+	1.26	2.28E-05	8.37E-04
cellular component organization or biogenesis (GO:0071840)	5831	235	186.72	+	1.26	3.49E-05	1.19E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5445	217	174.36	+	1.24	1.90E-04	4.93E-03
regulation of gene expression (GO:0010468)	4866	193	155.82	+	1.24	7.78E-04	1.55E-02
regulation of primary metabolic process (GO:0080090)	5593	221	179.10	+	1.23	2.58E-04	6.28E-03
regulation of macromolecule biosynthetic process (GO:0010556)	4994	196	159.91	+	1.23	1.20E-03	2.13E-02
regulation of cellular biosynthetic process (GO:0031326)	5127	199	164.17	+	1.21	1.83E-03	2.97E-02
regulation of biosynthetic process (GO:0009889)	5158	199	165.17	+	1.20	2.54E-03	3.94E-02
cellular process (GO:0009987)	14881	563	476.51	+	1.18	6.30E-16	2.09E-13
biological_process (GO:0008150)	17695	628	566.62	+	1.11	3.78E-15	1.13E-12
cellular nitrogen compound metabolic process (GO:0034641)	3271	74	104.74	-	.71	6.31E-04	1.30E-02
organic cyclic compound metabolic process (GO:1901360)	3210	70	102.79	-	.68	2.46E-04	6.04E-03
gene expression (GO:0010467)	2477	54	79.32	-	.68	1.52E-03	2.58E-02
cellular aromatic compound metabolic process (GO:0006725)	2955	60	94.62	-	.63	4.55E-05	1.50E-03
heterocycle metabolic process (GO:0046483)	2916	59	93.37	-	.63	5.21E-05	1.67E-03
nucleobase-containing compound metabolic process (GO:0006139)	2728	51	87.35	-	.58	8.27E-06	3.46E-04
RNA metabolic process (GO:0016070)	1520	25	48.67	-	.51	1.41E-04	3.90E-03
nucleic acid metabolic process (GO:0090304)	2167	33	69.39	-	.48	4.04E-07	2.35E-05
DNA metabolic process (GO:0006259)	773	10	24.75	-	.40	1.12E-03	1.99E-02
Unclassified (UNCLASSIFIED)	2885	31	92.38	-	.34	3.78E-15	1.11E-12
regulation of DNA metabolic process (GO:0051052)	521	5	16.68	-	.30	1.41E-03	2.43E-02
ncRNA metabolic process (GO:0034660)	533	5	17.07	-	.29	1.03E-03	1.89E-02
RNA processing (GO:0006396)	875	8	28.02	-	.29	1.19E-05	4.73E-04
mRNA processing (GO:0006397)	459	4	14.70	-	.27	1.78E-03	2.92E-02
DNA repair (GO:0006281)	516	4	16.52	-	.24	3.42E-04	7.82E-03
detection of stimulus involved in sensory perception (GO:0050906)	556	3	17.80	-	.17	2.46E-05	8.90E-04
RNA splicing (GO:0008380)	380	2	12.17	-	.16	6.13E-04	1.27E-02
ribonucleoprotein complex biogenesis (GO:0022613)	460	2	14.73	-	.14	7.33E-05	2.25E-03
ribosome biogenesis (GO:0042254)	313	1	10.02	-	.10	9.11E-04	1.76E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	433	0	13.87	-	 < 0.01	1.22E-06	6.18E-05
detection of chemical stimulus involved in sensory perception (GO:0050907)	481	0	15.40	-	 < 0.01	2.50E-07	1.51E-05
mRNA splicing, via spliceosome (GO:0000398)	247	0	7.91	-	 < 0.01	7.11E-04	1.44E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	247	0	7.91	-	 < 0.01	7.11E-04	1.44E-02
RNA splicing, via transesterification reactions (GO:0000375)	251	0	8.04	-	 < 0.01	4.50E-04	9.86E-03
sensory perception of smell (GO:0007608)	459	0	14.70	-	 < 0.01	5.63E-07	3.17E-05
sensory perception of chemical stimulus (GO:0007606)	535	0	17.13	-	 < 0.01	3.35E-08	2.46E-06
